Designator,Qty,Value,Footprint,Function,LCSC Part #,Purchase Link
"C1, C2",2,1uf,0603,"USB VBUS / charger input bulk decoupling (U1 BQ24040 IN, OUT)",C15849,https://www.lcsc.com/search?q=C15849
C10,1,100nF,0402,ESP32-S3 (U5) supply decoupling,C1525,https://www.lcsc.com/search?q=C1525
"C11, C19, C21, C7",4,0.1uF,0603,"General IC decoupling (U4 VIN/VCC, GPS, accel)",C14663,https://www.lcsc.com/search?q=C14663
"C12, C14, C16, C5",4,4.7uF,1206,12V solenoid rail bulk output caps (U4 boost output),C29823,https://www.lcsc.com/search?q=C29823
"C13, C15, C17",3,22uf,0805,3.3V rail bulk output caps (U3 buck-boost output),C45783,https://www.lcsc.com/search?q=C45783
"C18, C26, C27, C3, C8",5,100nF,0603,"Local HF decoupling, 3.3V rail",C14663,https://www.lcsc.com/search?q=C14663
C20,1,22uF,1206,3.3V bulk reservoir for RF/GPS current bursts,C12891,https://www.lcsc.com/search?q=C12891
"C22, R19",2,0,0402,GPS antenna pi-match: shunt cap + series 0R (U8 -> U6 GNSS_ANT),C1952,https://www.lcsc.com/search?q=C1952
C23,1,4.7uF,0402,"3.3V decoupling, SIM68M GPS module (U6)",C23733,https://www.lcsc.com/search?q=C23733
"C28, C4, C6",3,10uF,0603,"Mid-value decoupling, battery and 3.3V rails",C19702,https://www.lcsc.com/search?q=C19702
C9,1,0.047uF,0603,TPS55340 (U4) soft-start cap on SS pin,C1622,https://www.lcsc.com/search?q=C1622
"D1, D2, D5",3,LED,0603,"Status LEDs: D1/D2 = BQ24040 CHG/PGOOD, D5 = MCU-driven (via Q2)",C2290,https://www.lcsc.com/search?q=C2290
D3,1,D_Schottky,SMA_L4.3-W2.7-LS5.1-RD,Boost rectifier for U4 (SW node -> +12V),C8678,https://www.lcsc.com/search?q=C8678
D4,1,S1M,SMA_L4.3-W2.7-LS5.1-RD,Flyback/freewheel diode across the solenoid coil,C51898151,https://www.lcsc.com/search?q=C51898151
J1,1,MC-311D,USB-C-SMD_MC-311D,USB-C receptacle: 5V charge input + native USB D+/D-,C136423,https://www.lcsc.com/search?q=C136423
J2,1,BATTERY,CONN-TH_S2B-PH-K-S-GW,JST-PH 2-pin Li-ion battery connector,C157932,https://www.lcsc.com/search?q=C157932
L1,1,10uH,IND-SMD_L7.2-W6.6_GPSR07X0,10uH boost inductor for U4 (+3.3V -> +12V),C5189958,https://www.lcsc.com/search?q=C5189958
L2,1,2.2uH,L1008,2.2uH buck-boost inductor for U3 (TPS63020 L1/L2 pins),C86092,https://www.lcsc.com/search?q=C86092
L4,1,18nH,0402,"18nH shunt inductor, GPS antenna matching network",C86060,https://www.lcsc.com/search?q=C86060
Q1,1,AO3400A,SOT-23,"N-ch FET, low-side solenoid driver (gate = CTRL_P / GPIO40)",C20917,https://www.lcsc.com/search?q=C20917
Q2,1,DTC143Z,SOT-323_SC-70,Digital NPN (built-in bias) driving status LED D5 from net TM,C53066,https://www.lcsc.com/search?q=C53066
R1,1,560,0603,BQ24040 ISET: sets fast-charge current,C23204,https://www.lcsc.com/search?q=C23204
R10,1,180k,0603,"U3 (TPS63020) feedback divider, bottom leg -> 3.3V out",C22827,https://www.lcsc.com/search?q=C22827
