Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uf,
C10,0402,1,100nF,
"C11, C19, C21, C7",0603,4,0.1uF,
"C12, C14, C16, C5",1206,4,4.7uF,
"C13, C15, C17",0805,3,22uf,
"C18, C26, C27, C3, C8",0603,5,100nF,
C20,1206,1,22uF,
"C22, R19",0402,2,0,
C23,0402,1,4.7uF,
"C28, C4, C6",0603,3,10uF,
C9,0603,1,0.047uF,
"D1, D2, D5",0603,3,LED,
D3,SMA_L4.3-W2.7-LS5.1-RD,1,D_Schottky,
D4,SMA_L4.3-W2.7-LS5.1-RD,1,S1M,
J1,USB-C-SMD_MC-311D,1,MC-311D,C136423
J2,CONN-TH_S2B-PH-K-S-GW,1,BATTERY,
L1,IND-SMD_L7.2-W6.6_GPSR07X0,1,10uH,
L2,L1008,1,2.2uH,
L4,0402,1,18nH,
Q1,SOT-23,1,AO3400A,
Q2,SOT-323_SC-70,1,DTC143Z,
R1,0603,1,560,
R10,0603,1,180k,
R11,0603,1,75k,
R12,0603,1,86.6K,
"R13, R16, R7",0603,3,10k,
R17,0402,1,10k,
R18,0402,1,220,
"R2, R3",0402,2,5.1k,
R20,0402,1,1k,
"R4, R5",0603,2,1k,
R8,0603,1,2k,
R9,0603,1,1M,
"SW2, SW3",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
TP1,TestPoint_Loop_D3.80mm_Drill2.8mm,1,VCC_SOL,
TP2,TestPoint_Loop_D3.80mm_Drill2.8mm,1,GND_SOL,
U1,WSON-10_L2.0-W2.0-P0.40-BL-EP,1,BQ24040DSQR,C81080
U2,SOT-23-6,1,USBLC6-2SC6,
U3,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,1,TPS63020DSJR,C15483
U4,VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,TPS55340RTER,C169167
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U6,GPSM-SMD_18P-L10.1-W9.7-P1.10,1,SIM68M,C2999762
U7,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12TR,C110926
U8,ANT-SMD_L10.0-W3.0,1,GPS1003,C239243
