Designator,Mid X,Mid Y,Rotation,Layer
C1,106.6475,-90.505,90.0,top
C10,108.88,-74.99,0.0,top
C11,138.88,-89.23,270.0,top
C12,132.34,-83.07,0.0,top
C13,96.405,-79.232499,180.0,top
C14,132.28,-77.85,0.0,top
C15,96.385,-77.062499,180.0,top
C16,132.305,-80.44,0.0,top
C17,96.425,-81.382499,180.0,top
C18,120.635,-48.36,180.0,top
C19,137.15,-71.79,270.0,top
C2,104.63,-91.91,270.0,top
C20,121.26,-52.485,270.0,top
C21,138.05,-77.46,270.0,top
C23,108.85,-73.91,0.0,top
C26,113.87,-78.24,180.0,top
C27,117.08,-78.23,0.0,top
C28,113.825,-79.88,180.0,top
C3,116.96,-88.27,90.0,top
C4,102.73,-91.9,270.0,top
C5,134.97,-93.86,0.0,top
C6,107.1575,-87.25,180.0,top
C7,133.02,-90.475,270.0,top
C8,103.24,-81.68,270.0,top
C9,136.32,-89.47,0.0,top
D1,111.28,-93.67,0.0,top
D2,110.99,-87.33,0.0,top
D3,128.12,-83.18,270.0,top
D4,125.445,-77.86,180.0,top
D5,102.9525,-78.88,0.0,top
H1,95.6,-50.66,0.0,top
H2,139.97,-94.15,0.0,top
J1,119.145,-93.605,0.0,top
J2,96.9025,-92.9275,180.0,top
L1,128.0,-91.25,90.0,top
L2,94.365,-85.63,90.0,top
Q1,123.395,-82.8475,90.0,top
Q2,102.9025,-75.07,270.0,top
R1,108.2275,-92.87,270.0,top
R10,100.965,-82.452499,0.0,top
R11,136.32,-83.76,90.0,top
R12,140.62,-83.3,270.0,top
R13,140.65,-86.45,270.0,top
R16,136.83,-68.72,0.0,top
R17,121.6,-79.9,0.0,top
R18,124.245,-80.16,0.0,top
R19,107.23,-52.53,180.0,top
R2,113.1,-96.48,180.0,top
R20,102.8225,-77.43,0.0,top
R3,124.9,-96.08,270.0,top
R4,111.23,-92.06,0.0,top
R5,110.98,-85.67,0.0,top
R7,101.25,-88.47,0.0,top
R8,137.8,-86.45,0.0,top
R9,100.175,-80.042499,270.0,top
SW2,140.02,-71.66,270.0,top
SW3,140.5,-78.02,90.0,top
TP1,133.1,-72.85,0.0,top
TP2,123.3,-72.75,0.0,top
U1,109.04,-89.7275,0.0,top
U2,119.63,-87.77,270.0,top
U3,99.465,-85.66,180.0,top
U4,133.99,-86.7,0.0,top
U5,132.35,-53.59,0.0,top
U6,104.71,-67.49,90.0,top
U7,115.12,-76.08,180.0,top
U8,105.51,-49.475,0.0,top
